idweb,dateparution,datelimitereponse,dept,code_departement,nomacheteur,type_acheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,filename,source_schema,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,vrai_conforme,faux_conforme,url_avis,url_pdf
26-70146,2026-07-16,2026-08-28 10:00:00,72,"['72', '53', '49', '61']",LBN COMMUNAUTE,Agglomération,CREATION D'UNE DECHETTERIE A BRAINS SUR GEE,"terrassement, assainissement, voirie et réseaux divers, espaces verts",Marchés européens,Procédure Ouverte,Avis de marché,26-70146,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70146,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70146.pdf
26-70275,2026-07-16,,95,['95'],SPL Cergy Pontoise Aménagement,Autre,Réalisation d'un équipement sportif au sein de la ZAC Bossut à Pontoise (95),equipement sportif,Marchés européens,Procédure Ouverte,Résultat de marché,26-70275,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70275,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70275.pdf
26-70208,2026-07-16,,73,['73'],Communauté de Communes de Haute Tarentaise,Agglomération,"La présente consultation a pour objet la contractualisation d'un marché de conception-réalisation au sens de l'article L. 2171-2, R. 2171-1 du Code de la commande publique pour la conception et la réa",station d'épuration (travaux),Marchés européens,Procédure Négociée,Résultat de marché,26-70208,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70208,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70208.pdf
26-70658,2026-07-16,,976,['976'],Ville de Mamoudzou (976),Ville,"TRAVAUX ECOLE T20 VAHIBE (Relance lot 4, 7 et 14)","plomberie (travaux), serrurerie, mobilier",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-70658,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70658,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70658.pdf
26-70644,2026-07-16,2026-09-21 12:00:00,972,['972'],CHU de Martinique,Autre,TRAVAUX DE REMPLACEMENT DE LA PRODUCTION DE FROID DU CENTRE HOSPITALIER UNIVERSITAIRE DE MARTINIQUE (CHUM),climatisation,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70644,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70644,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70644.pdf
26-70649,2026-07-16,2026-08-07 12:00:00,21,"['21', '25', '39', '58', '69', '71']",Préfecture région Bourgogne,Autre,travaux de rénovation de l'accueil du bâtiment PAPET préfecture de Saône et Loire,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70649,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70649,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70649.pdf
26-70766,2026-07-16,,95,['95'],Syndicat Intercommunautaire Pour L'Assainissement De La Region De Cergy-Pontoise Et Du Vexin - Siarp,Agglomération,"Travaux De Demolition, Desamiantage Des Enrobes Et Decapage Du Centre Technique Syndical Du Siarp",assainissement,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-70766,3.2.5,-2,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70766,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70766.pdf
26-70871,2026-07-16,2026-09-02 12:00:00,34,['34'],Société d'Aménagement de Montpellier Méditerranée Métropole,Agglomération,"Amenagements Rive Jardin - Lot A : Espaces Verts, Arrosage, Sondes Tensiometriques Et Mobiliers - Cevennes",espaces verts,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70871,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70871,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70871.pdf
26-71051,2026-07-16,,24,['24'],Département de la Dordogne,Département,Rénovation des chaufferies des collèges Jean Monnet à Lalinde et Léo Testut à Beaumontois-en-Périgord,"chauffage (travaux), electricité (travaux)",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-71051,3.2.5,0,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:26-71051,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71051.pdf
26-71078,2026-07-16,2026-08-28 12:00:00,59,"['59', '62']",Commune de Santes,Ville,Travaux de démolition d'un bâtiment et travaux de couverture de l'ancienne mairie,"couverture, démolition",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-71078,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71078,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71078.pdf
26-70919,2026-07-16,2026-09-04 12:00:00,69,['69'],Commune de BEAUJEU,Ville,Réhabilitation de l'Hôtel-restaurant de Beaujeu,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70919,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70919,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70919.pdf
26-70988,2026-07-16,2026-10-01 11:00:00,18,['18'],DRAC Centre-Val de Loire,Autre,Bourges Cathédrale Saint-Etienne Création d'une verrière dans la baie n°33,"monuments historiques, oeuvre d'art",Marchés entre 90 k€ et seuils européens,Procédure Restreinte,Avis de marché,26-70988,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70988,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70988.pdf
26-71063,2026-07-16,2026-09-18 12:00:00,55,"['55', '8', '10', '51']",CA BAR LE DUC SUD MEUSE,Agglomération,Aménagement d'un terrain familial locatif à Loisey,"gros oeuvre, electricité (travaux), terrassement, plâtrerie, couverture, menuiserie, plomberie (travaux), peinture (travaux), revêtements de sols",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-71063,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71063,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71063.pdf
26-70865,2026-07-16,2026-09-10 10:00:00,54,['54'],Commune de MOUACOURT,Ville,AMENAGEMENT DE LA TRAVERSEE DE MOUACOURT-.,ouvrage d'infrastructure,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70865,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70865,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70865.pdf
26-70873,2026-07-16,2026-08-31 14:00:00,34,['34'],Montpellier Méditerranée Métropole,Agglomération,Réfection de couche de roulement et réparation de chaussées - Phase 3 - Sens 1 Pr 4+700 à 6+050,voirie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70873,3.2.5,3,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70873,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70873.pdf
26-70951,2026-07-16,2026-09-04 16:00:00,30,['30'],Conseil départemental du Gard,Département,Marché de travaux pour la réhabilitation d'un plateau pour la création de deux logements au sein du bâtiment de la Préfecture de Nîmes,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70951,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70951,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70951.pdf
26-70895,2026-07-16,2026-08-07 12:00:00,83,['83'],Regie Municipale Pour Le Stationnement,Autre,Maitrise d'oeuvre pour la réparation du parking Bonaparte,maîtrise d'oeuvre,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70895,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70895,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70895.pdf
26-70879,2026-07-16,,59,['59'],"Ville de Lomme, Commune associée à la Ville de Lille",Ville,"Travaux de réhabilitation de la Maison des Enfants et du Pavillon, à Lomme","menuiserie, peinture (travaux), plâtrerie, carrelage, charpente, electricité (travaux), ravalement, voirie et réseaux divers, bardage, chauffage (travaux), cloison, faux plafond, couverture, démolition, etanchéité, gros oeuvre, isolation, revêtements de sols",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-70879,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70879,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70879.pdf
26-71133,2026-07-16,,30,['30'],La Sat,Autre,Réalisation de l'aménagement Vrd de la parcelle Ar 406  - Zac Mitra sur la commune de Garons,voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-71133,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71133,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71133.pdf
26-71095,2026-07-16,2026-09-25 15:00:00,35,['35'],SAINT-MALO AGGLOMÉRATION,Agglomération,TRAVAUX DE REHABILITATION ET DE CHEMISAGE DES RÉSEAUX D'ASSAINISEMENT,travaux de viabilité,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-71095,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71095,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71095.pdf
26-71125,2026-07-16,2026-08-07 12:00:00,30,"['30', '34', '13']",Commune du Grau du Roi,Ville,Travaux d'aménagements spécifiques voués aux déplacements en mode doux Rive droite sur la Commune de Le Grau Du Roi,"voirie et réseaux divers, terrassement, espaces verts",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-71125,3.2.5,3,True,True,mode doux,False,True,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71125,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71125.pdf
26-71129,2026-07-16,2026-09-08 12:00:00,69,['69'],Commune de Brignais,Ville,"Réhabilitation de la Salle du Garon, à Brignais (69)","etanchéité, isolation, maçonnerie, ventilation, photovoltaïque",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-71129,3.2.5,0,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:26-71129,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71129.pdf
26-70205,2026-07-16,2026-07-28 10:00:00,45,['45'],REGION CENTRE-VAL DE LOIRE,Autre,"Marchés de travaux pour la mise en conformité ""accessibilité"" de 16 sites du patrimoine régional selon la loi n° 2005-102 du 11 février 2005 et sur la base de l'AD'AP - Période 2
Procédure d'appe",bâtiment,Marchés européens,Procédure Ouverte,Avis de marché,26-70205,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70205,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70205.pdf
26-70819,2026-07-16,2026-09-14 12:00:00,30,['30'],Nîmes Métropole (30),Agglomération,26T007CH_Rénovation CTA et gaines de la piscine Némausa,"ventilation, chauffage (exploitation, entretien), climatisation, chauffage (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70819,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70819,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70819.pdf
26-70703,2026-07-16,,53,['53'],SEM Laval Mayenne Aménagements,Autre,"Marché de travaux portant sur la déconstruction partielle de l’îlot du centre bourg de la commune de Le Horps, la requalification du carrefour, et l'aménagement d’un préau.","espaces verts, terrassement",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-70703,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70703,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70703.pdf
26-70632,2026-07-16,2026-09-15 15:00:00,28,['28'],Chartres Métropole (28),Agglomération,Gestion des eaux pluviales de la rue des Vaux Roussins à Jouy (28),"terrassement, ouvrage hydraulique, espaces verts",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70632,3.2.5,1,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70632,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70632.pdf
26-70659,2026-07-16,,02,['2'],Communauté de communes Retz-en-Valois,Agglomération,"Travaux d’entretien, de réparation, de réfection et d’aménagement de la voirie sur le territoire de la C.C.R.V.","voirie, voirie et réseaux divers",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-70659,3.2.5,3,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70659,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70659.pdf
26-70100,2026-07-16,2026-08-17 10:00:00,27,['27'],EURE AMENAGEMENT DEVELOPPEMENT,Autre,"Marché de travaux pour la construction de la Fabrique des Solutions ( équipement public à vocation sociale, réunissant les services du Département, de la CAF et du CCAS), à Louviers (27). Lot 6 et 11","serrurerie, electricité (travaux)",Marchés européens,Procédure Ouverte,Avis de marché,26-70100,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70100,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70100.pdf
26-70206,2026-07-16,2026-08-07 14:45:00,35,['35'],Rennes Métropole,Agglomération,Trambus ligne T1 - Opération E- Guilloux/Lorient/Mail - Travaux,"assainissement, eclairage public, espaces verts, maçonnerie, voirie",Marchés européens,Procédure Ouverte,Avis de marché,26-70206,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70206,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70206.pdf
26-70314,2026-07-16,2026-10-07 10:00:00,34,['34'],Communauté d'Agglomération Béziers Méditerranée,Agglomération,Construction d'un bassin de stockage à l'entrée de la station d'épuration de Béziers,"bassin, étang, canalisations, station d'épuration (travaux)",Marchés européens,Procédure Ouverte,Avis de marché,26-70314,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70314,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70314.pdf
26-70097,2026-07-16,,83,['83'],Service d'infrastructure méditerranée,Autre,TOULON (83) – EPMu Provence Méditerranée - Sécurisation des parois rocheuses,travaux de viabilité,Marchés européens,Procédure Restreinte,Avis de marché,26-70097,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70097,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70097.pdf
26-70188,2026-07-16,,89,['89'],CENTRE HOSPITALIER D'AUXERRE,Autre,Conception-réalisation du nouveau Centre Hospitalier d'Avallon,"bâtiment, ingénierie, tous corps d'état",Marchés européens,Procédure Dialogue compétitif,Résultat de marché,26-70188,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70188,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70188.pdf
26-70630,2026-07-16,2026-09-04 12:00:00,59,['59'],Ville de Dunkerque (59),Ville,Travaux de couverture de l'Eglise Notre Dame à Rosendaël,couverture,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70630,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70630,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70630.pdf
26-70638,2026-07-16,2026-07-30 12:00:00,34,['34'],Commune de Portiragnes,Ville,Travaux extension cuisine restaurant scolaire. Relance Lot n°8 Cvc Plomberie,cuisine (équipement),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70638,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70638,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70638.pdf
26-70612,2026-07-16,,976,['976'],Ville de Mamoudzou (976),Ville,RENOVATION DES SANITAIRES DES BÂTIMENTS CENTRE ADMINISTRATIVE DE MAMOUDZOU,"sanitaire, menuiserie",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-70612,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70612,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70612.pdf
26-70905,2026-07-16,,33,['33'],Conseil Départemental de la Gironde,Département,Extension du Système de Détection Incendie  à l'Hôtel du Département de la Gironde,détection incendie,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-70905,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70905,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70905.pdf
26-70915,2026-07-16,2026-09-07 12:00:00,30,['30'],Ville de Beaucaire (30),Ville,Travaux d'entretien courant et réparations ponctuelles de voirie et chemins communaux de la Ville de Beaucaire,"voirie, voirie et réseaux divers",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70915,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70915,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70915.pdf
26-71013,2026-07-16,2026-09-04 12:00:00,13,"['13', '83', '84', '30', '4', '34']",SGAMI SUD,Autre,Marché de travaux de réfection d’étanchéité et couverture du bâtiment Ce.Z.O.C à Marseille (13),etanchéité,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-71013,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71013,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71013.pdf
26-71019,2026-07-16,2026-09-02 16:00:00,13,['13'],Ville de Port Saint Louis du Rhône (13),Ville,travaux d'étanchéité et d'entretien des toitures de divers bâtiments communaux,etanchéité,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-71019,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71019,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71019.pdf
26-71022,2026-07-16,2026-08-06 16:00:00,74,['74'],Commune De Saint-Gervais-Les-Bains,Ville,Reamenagement De L'Esplanade Marie Paradis,maçonnerie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-71022,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71022,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71022.pdf
26-71038,2026-07-16,2026-09-04 16:00:00,06,['6'],MAIRIE DE MENTON,Ville,MONTAGE ET DEMONTAGE DES MOTIFS DECORATIFS ET ILLUMINATIONS DES FETES DE FIN D'ANNEE (trois lots),electricité (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-71038,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71038,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71038.pdf
26-70778,2026-07-16,2026-09-07 16:00:00,35,['35'],TERRE ET TOIT,Autre,ZAC KER LANN - TRAVAUX D'AMENAGEMENT DU SECTEUR SUD - TRANCHE GROUPE SCOLAIRE,"terrassement, voirie et réseaux divers, espaces verts, assainissement, réseaux divers",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70778,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70778,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70778.pdf
26-70971,2026-07-16,,76,"['76', '27']",Commune d'Envermeu,Ville,Travaux de réhabilitation des réseaux d'assainissement d'eaux usées de la commune d'Envermeu,"canalisations, assainissement",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-70971,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70971,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70971.pdf
26-71135,2026-07-16,,77,['77'],Ville de Trilport,Ville,Travaux de rénovation énergétique et restructuration de la salle des fêtes de Trilport,"chauffage (travaux), décoration (travaux), electricité (travaux), peinture (travaux), plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-71135,3.2.5,0,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:26-71135,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71135.pdf
26-71171,2026-07-16,2026-08-24 12:00:00,973,['973'],Collectivite Territoriale De Guyane,Autre,Réhabilitation du Palais Régional Omnisport Georges Theolade,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-71171,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71171,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71171.pdf
26-70302,2026-07-16,2026-09-15 13:00:00,59,['59'],SID NE,Autre,LILLE (59) - Caserne VANDAMME - Création de l'antenne CIMOB - Travaux de menuiseries extérieures,"bâtiment, menuiserie",Marchés européens,Procédure Ouverte,Avis de marché,26-70302,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70302,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70302.pdf
26-70347,2026-07-16,2026-10-02 14:00:00,02,"['2', '8', '10', '51']",CHU REIMS,Autre,Accord-cadre relatif aux travaux d’entretien et d'aménagement pour le compte du GHUC,"amiante (désamiantage), chauffage (travaux), couverture, electricité (travaux), fluides médicaux, gros oeuvre, menuiserie, occultation, peinture (travaux), plomberie (travaux)",Marchés européens,Procédure Ouverte,Avis de marché,26-70347,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70347,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70347.pdf
26-70252,2026-07-16,2026-09-11 09:00:00,73,['73'],GRAND CHAMBERY,Autre,Réhabilitation du réservoir de Sainte Claire à Chambéry,réservoir,Marchés européens,Procédure Négociée,Avis de marché,26-70252,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70252,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70252.pdf
26-70323,2026-07-16,,13,['13'],COMMUNE DE MARSEILLE,Ville,Marché de partenariat 2,tous corps d'état,Marchés européens,Procédure NC,Résultat de marché,26-70323,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70323,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70323.pdf
26-70715,2026-07-16,,10,['10'],COMMUNE DE BRIENNE LE CHATEAU,Ville,Travaux d'installation photovoltaïque en toiture de la maison de santé à Brienne le Château (10500),photovoltaïque,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-70715,3.2.5,-3,False,False,,False,False,True,https://www.boamp.fr/pages/avis/?q=idweb:26-70715,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70715.pdf
26-70800,2026-07-16,,59,['59'],Centre hospitalier de Valenciennes,Autre,"MAPA 20260096 Aménagement de plateaux, de bureaux et de salles au sein du bâtiment Désandrouin pour le Centre Hospitalier de Valenciennes",gros oeuvre,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,26-70800,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70800,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70800.pdf
26-70811,2026-07-16,2026-09-18 12:00:00,80,"['80', '60']",Btp Cfa Picardie,Autre,Mise en accessibilité du BTP CFA PICARDIE - Site de l'Oise,"démolition, gros oeuvre, menuiserie, electricité (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70811,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70811,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70811.pdf
26-70781,2026-07-16,2026-08-26 12:00:00,36,['36'],CHATEAUROUX METROPOLE,Agglomération,"Aménagements 2.1-2.2-2.3 du secteur gare : allée des Frères Seron, place Mellottée et rue Pierre Gaultier à Châteauroux","arrosage, eclairage public, espaces verts, voirie et réseaux divers",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70781,3.2.5,2,True,False,,True,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70781,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70781.pdf
26-70959,2026-07-16,2026-09-21 15:00:00,75,"['75', '77', '91', '93']",GHU PARIS Psychiatrie et Neurosciences,Autre,Travaux pour la mise en oeuvre d'un système de vidéosurveillance Site du GHU Paris de Neuilly-sur-Marne,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70959,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70959,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70959.pdf
26-70909,2026-07-16,2026-08-20 15:00:00,974,['974'],DEPARTEMENT DE LA REUNION,Département,Travaux de réseaux et d'aménagements sur la Route des Flamboyants RD400 au PR 10+610 - Communes de Saint Pierre et du Tampon,réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70909,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70909,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70909.pdf
26-70917,2026-07-16,2026-09-15 12:00:00,17,['17'],COMMUNAUTÉ D'AGGLOMÉRATION ROYAN ATLANTIQUE,Agglomération,Réhabilitation du réseau d'assainissement - Canalisations gravitaires dans la rue de la Cité à COZES,assainissement,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-70917,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-70917,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-70917.pdf
26-71093,2026-07-16,,92,"['92', '75']","SCI LE CADRAN, représentée par son gérant Malakoff Humanis AGIRC-ARCO",Autre,"Marché de travaux de ravalement de la façade de l'immeuble ""le cadran"" situé à Malakoff",peinture (travaux),Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-71093,3.2.5,0,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71093,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71093.pdf
26-71046,2026-07-16,,95,['95'],Syndicat Intercommunautaire Pour L'Assainissement De La Region De Cergy-Pontoise Et Du Vexin - Siarp,Agglomération,Op 2025/07 - Travaux en tranchée traditionnelle concernant la mise en séparatif des réseaux d'assainissement et la reprise des branchements Chaussée Jules César et rue de Dampont à,assainissement,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,26-71046,3.2.5,-2,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71046,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71046.pdf
26-71031,2026-07-16,2026-09-16 12:00:00,50,['50'],Commune de Cherbourg-en-Cotentin,Ville,Travaux de refonte de la cuisine de l'Ehpad Beregovoy,cuisine (équipement),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,26-71031,3.2.5,-3,False,False,,False,False,False,https://www.boamp.fr/pages/avis/?q=idweb:26-71031,https://www.boamp.fr/telechargements/FILES/PDF/2026/07/26-71031.pdf
